Nama File;Requirement Statement;Noise?
9_PINES Reports Software Requirements Specification_Final uji9.doc;Ability to count and track record deletions (e.g. item records, patron records) per location and per system.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;Queries and reports can be limited or grouped by various patron characteristics, including: age range, zip code, county of residence, home branch, patron type, and preferred language.;1
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system generates a list of patrons with no circulation or electronic activity in the last X days (X configurable).  List should be configurable to System, Home Library, County, etc.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;"Transaction history is maintained for X days (X is configurable) monthly and annual aggregate information is maintained indefinitely.";0
9_PINES Reports Software Requirements Specification_Final uji9.doc;Transactions can be grouped by hour, terminal, branch, and system. Transactions include check-ins, check-outs, fines collected, patron registrations, etc., and can be queried by all transactions or by type of transaction.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system counts all types of check-in individually and cumulatively: book-drop, by terminal, by user or self-service.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system counts all types of check-out individually and cumulatively: staff check-out, self check-out, staff renewal, self checkout renewal, online renewal, OPAC renewal.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system counts all hold requests, including how the hold was placed: at a staff desk, at a public computer inside the library, or remotely.;1
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system can generate a report of transactions (holds placed, holds filled, and check-outs) per patron, per library, per selected group o libraries, per system, per county. The system displays the number of check-outs and placed holds per patron. Holds are subtotaled by type, e.g. active, frozen, and frozen-until holds.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system can generate a report of the value of items (based on data in item record) in the entire collection or a portion. Example: staff can obtain value of all items with status of longoverdue, or value of all dvds in children's collection, or value of entire collection.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;All reports and data archiving must comply with standard accounting practice and state, county, and municipal auditing requirements.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;Fines, charges, waivers, and ecommerce transactions are attached to patron and item records. System tracks fines waived and payments made per library. Financial information can be updated easily. As an example, a staff user can easily query patron accounts with balances greater than X dollars.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;"The system provides financial reports including: patron account balances by patron, home library, and system fines and charges accrued per time period (e.g. last twelve months, YTD, last month) and per type of charge (overdue fines, damaged item charges, lost item charges, etc.) fines waived per time period and per branch payments made per time period and per payment method (e.g. staff desk, self-check station, OPAC).";0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system maintains a ledger of patron payments, including which charges payments are applied to, to facilitate reconciliation.;0
11_5hlmnSRS_uji11;This software is being developed to for customer Xuan Gu, an employee for the CISE Department at the University of Florida.;0
11_5hlmnSRS_uji11;TA1 is part of a four-part project consisting of a Faculty, Admin, TA1 and TA2.;0
11_5hlmnSRS_uji11;The TA1 interface will allow the user to edit the number of TA slots for a particular course as well as assign/update TA applicant categories.;0
11_5hlmnSRS_uji11;There will also be a secure login before any of these interfaces are accessible.;0
11_5hlmnSRS_uji11;The format of this SRS is simple.;0
11_5hlmnSRS_uji11;Bold face and indentation is used on general topics and or specific points of interest.;0
11_5hlmnSRS_uji11;The remainder of the document will be written using the standard font, New Times Roman.;0
11_5hlmnSRS_uji11;This document is intended to be read by the customer Xuan Gu.;0
11_5hlmnSRS_uji11;This is a technical document and the terms should be understood by the customer.;0
11_5hlmnSRS_uji11;The scope of this project includes our group of developers assisted by our customer, Xuan.;0
11_5hlmnSRS_uji11;The scope thus far has been the completion of the basic interfaces that will be used to build the system.;0
11_5hlmnSRS_uji11;The database used, has been set up and given the necessary permissions.;0
11_5hlmnSRS_uji11;The constraints felt thus far by the group have only been our weekly story cards, the end-to-end side of the interface, and our first release, scheduled for February 11, 2004.;0
11_5hlmnSRS_uji11;Resources have been used from Dr. Cubert’s website, www.cise.ufl.edu/~rmc/se/, and this SRS was modeled after one found online at http://www.processimpact.com/process_assets/srs_template.doc.;0
11_5hlmnSRS_uji11;The TA1 Project is a new product that is part of a larger, more complete product for our customer.;0
11_5hlmnSRS_uji11;It will provide the faculty a way of viewing all of the TA’s information that is necessary in order to make a decision on every TA’s status.;0
11_5hlmnSRS_uji11;This project has three pages that are part of TA1, which is part of the larger product.;0
11_5hlmnSRS_uji11;The first page is a login interface that will only allow access from the proper users.;0
11_5hlmnSRS_uji11;The second page displays the available classes based on a certain semester and the course enrollment for a particular class.;0
11_5hlmnSRS_uji11;The third and final page displays information about TA’s, their status, and any special notes that might’ve been posted about them.;0
11_5hlmnSRS_uji11;The user classes will be TA1, TA2, Administration, and Faculty.;0
11_5hlmnSRS_uji11;This product is web-based and will be hosted by a web server on the CISE website (www.cise.ufl.edu).;0
11_5hlmnSRS_uji11;This product can be viewed by any web browser, and has been tested for compliance with Mozilla, Internet Explorer, Netscape Navigator, and Opera.;0
11_5hlmnSRS_uji11;There are no constraints at this point in time.;0
11_5hlmnSRS_uji11;The user documentation can be found in this SRS.;0
11_5hlmnSRS_uji11;We assume that extra documentation beyond this SRS would not be necessary in order for the user to utilize this product.;0
11_5hlmnSRS_uji11;This feature will give the user a secure and simple login screen.;0
11_5hlmnSRS_uji11;It is based on professor Cubert’s exclusionary principle.;0
11_5hlmnSRS_uji11;This means rather than creating try catches for a handful of error types, it just has only a handful of available and possible inputs, to prevent any improper logging in, which might cause unexpected errors, and therefore limiting the system’s capabilities.;0
11_5hlmnSRS_uji11;It will consist of two basic fields, Username and Password.;0
11_5hlmnSRS_uji11;There are two buttons: Login and Lost or Forgot Password.;0
11_5hlmnSRS_uji11;Login will submit the entered data for approval followed by access, and the forgot password will direct the user to access his/her password which has been forgotten.;0
11_5hlmnSRS_uji11;The most important function is to only grant access to users that are listed in the database.;1
11_5hlmnSRS_uji11;The customer will provide the information on who will be allowed access.;0
11_5hlmnSRS_uji11;To implement the security, the web page must check the database to see if the Username and Password are valid.;0
11_5hlmnSRS_uji11;If they are not, the user will receive an “Invalid login. Please try again.” response.;0
11_5hlmnSRS_uji11;This feature will allow the user to edit the number of TA slots for a specific course.;0
11_5hlmnSRS_uji11;The user will be given a list of course numbers and names for a given semester.;0
11_5hlmnSRS_uji11;They will also be provided with the number of students enrolled in each specific class.;0
11_5hlmnSRS_uji11;This interface will consist of basic fields for the user to enter information.;0
11_5hlmnSRS_uji11;Also, information about each person in the database that is listed will be shown if the mouse is highlighting a name for one second.;0
11_5hlmnSRS_uji11;This helps alleviate some time when the user is searching for data because it lessens the usage of the submit button because the data has already been found.;0
11_5hlmnSRS_uji11;Additionally, once logged in, upon hitting the back button and reentering the site will not call for another log in screen.;0
11_5hlmnSRS_uji11;It will therefore take you to the following page of options.;0
11_5hlmnSRS_uji11;To use this interface there will be many functional requirements.;0
11_5hlmnSRS_uji11;The main function will use PHP to pull the course information off of the database.;0
11_5hlmnSRS_uji11;This feature will not only provide the user with the general information on all the applicants, but also allow them to assign and update the TA categories.;0
11_5hlmnSRS_uji11;The user will be given a list of names and UFID’s of all the applicants to their courses.;0
11_5hlmnSRS_uji11;They will also be given the ability to sort the applicants in order of UFID or alphabetically by their last names.;0
11_5hlmnSRS_uji11;The user will be able to change the status of the applicants as needed.;0
11_5hlmnSRS_uji11;This interface will depend mostly on retrieving information from the database.;0
11_5hlmnSRS_uji11;PHP will be integrated into the HTML and will retrieve needed information for the interface.;0
11_5hlmnSRS_uji11;The site will be xhtml1.1 and css compliant.;0
11_5hlmnSRS_uji11;The first interface is the log-in screen.;0
11_5hlmnSRS_uji11;This is where the user has a specific Username and Password so that they can gain access to the database.;0
11_5hlmnSRS_uji11;Next is the TA Slots interface.;0
11_5hlmnSRS_uji11;You can choose which semester’s classes you would like to view and are able to update any of the categories displayed in the columns.;0
11_5hlmnSRS_uji11;The next and final interface is the “assign/update” page.;0
11_5hlmnSRS_uji11;Though not necessarily interfacing with the hardware, the system must make use with an internet connection.;0
11_5hlmnSRS_uji11;The system uses an internet connection to connect to the database.;0
11_5hlmnSRS_uji11;The code itself though, does not specifically direct the network controllers to do any work.;1
11_5hlmnSRS_uji11;Along with the internet connection, the system makes indirect use of an internet browser.;0
11_5hlmnSRS_uji11;Outside of the HTML code and PHP, the code doesn’t tell any software, including the browser, what to do.;0
11_5hlmnSRS_uji11;Access to the database should be restricted to people that are required to view information about TA’s.;0
11_5hlmnSRS_uji11;Passwords and ID’s should be regulated to be at least a certain length and must contain non-alphanumeric characters in both the password and ID.;0
12_15hlmnSRS4.0_uji12;The system shall display detailed product categorization to the user.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to enter the search text on the screen.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to select multiple options on the screen to search.;0
12_15hlmnSRS4.0_uji12;The system shall display all the matching products based on the search.;0
12_15hlmnSRS4.0_uji12;The system shall display only 10 matching result on the current screen.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to navigate between the search results.;0
12_15hlmnSRS4.0_uji12;The system shall notify the user when no matching product is found on the search.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to create profile and set his credential.;0
12_15hlmnSRS4.0_uji12;The system shall authenticate user credentials to view the profile.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to update the profile information.;0
12_15hlmnSRS4.0_uji12;The system shall display both the active and completed order history in the customer profile.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the order from the order history.;0
12_15hlmnSRS4.0_uji12;The system shall display the detailed information about the selected order.;0
12_15hlmnSRS4.0_uji12;The system shall display the most frequently searched items by the user in the profile.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to register for newsletters and surveys in the profile.;1
12_15hlmnSRS4.0_uji12;The system shall provide online help, FAQ’s customer support, and sitemap options for customer support.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the support type he wants.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to enter the customer and product information for the support.;0
12_15hlmnSRS4.0_uji12;The system shall display the customer support contact numbers on the screen.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to enter the contact number for support personnel to call.;0
12_15hlmnSRS4.0_uji12;The system shall display the online help upon request.;0
12_15hlmnSRS4.0_uji12;The system shall display the FAQ’s upon request.;0
12_15hlmnSRS4.0_uji12;The system shall maintain customer email information as a required part of customer profile.;0
12_15hlmnSRS4.0_uji12;The system shall send an order confirmation to the user through email.;0
12_15hlmnSRS4.0_uji12;The system shall display detailed invoice for current order once it is confirmed.;0
12_15hlmnSRS4.0_uji12;The system shall optionally allow user to print the invoice.;0
12_15hlmnSRS4.0_uji12;The system shall provide shopping cart during online purchase.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to add/remove products in the shopping cart.;0
12_15hlmnSRS4.0_uji12;The system shall display different shipping options provided by shipping department.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to select the shipping method during payment process.;0
12_15hlmnSRS4.0_uji12;The system shall display the shipping charges.;0
12_15hlmnSRS4.0_uji12;The system shall display tentative duration for shipping.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to enter the order information for tracking.;0
12_15hlmnSRS4.0_uji12;The system shall display the current tracking information about the order.;0
12_15hlmnSRS4.0_uji12;The system shall calculate tax for the order.;0
12_15hlmnSRS4.0_uji12;The system shall display tax information for the order.;0
12_15hlmnSRS4.0_uji12;The system shall display available payment methods for payment.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the payment method for order.;0
12_15hlmnSRS4.0_uji12;The system shall display the orders that are eligible to change.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the order to be changed.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to cancel the order.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to change shipping, payment method.;0
12_15hlmnSRS4.0_uji12;The system shall notify the user about any changes made to the order.;0
12_15hlmnSRS4.0_uji12;The system shall display the reviews and ratings of each product, when it is selected.;0
12_15hlmnSRS4.0_uji12;The system shall enable the user to enter their reviews and ratings.;0
12_15hlmnSRS4.0_uji12;The system shall display all the available financing options.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the financing option.;0
12_15hlmnSRS4.0_uji12;The system shall notify the use about the financing request.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to view detailed sitemap.;1
12_15hlmnSRS4.0_uji12;The system shall display all the available promotions to the user.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select available promotion.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to confirm the purchase.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to enter the payment information.;0
12_15hlmnSRS4.0_uji12;The system shall provide a uniform look and feel between all the web pages.;0
12_15hlmnSRS4.0_uji12;The system shall provide a digital image for each product in the product catalog.;0
12_15hlmnSRS4.0_uji12;The system shall provide use of icons and toolbars.;0
12_15hlmnSRS4.0_uji12;The system shall provide handicap access.;0
12_15hlmnSRS4.0_uji12;The system shall provide multi language support.;0
12_15hlmnSRS4.0_uji12;The system shall provide storage of all databases on redundant computers with automatic switchover.;0
12_15hlmnSRS4.0_uji12;The system shall provide for replication of databases to off-site storage locations.;0
12_15hlmnSRS4.0_uji12;The system shall provide RAID V Disk Stripping on all database storage disks.;0
12_15hlmnSRS4.0_uji12;The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability.;0
12_15hlmnSRS4.0_uji12;The system shall provide a contractual agreement with an internet service provider who can provide 99.999% availability through their network facilities onto the internet.;0
12_15hlmnSRS4.0_uji12;The product shall be based on web and has to be run from a web server.;0
12_15hlmnSRS4.0_uji12;The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.;0
12_15hlmnSRS4.0_uji12;The performance shall depend upon hardware components of the client/customer.;0
12_15hlmnSRS4.0_uji12;The system shall use secure sockets in all transactions that include any confidential customer information.;0
12_15hlmnSRS4.0_uji12;The system shall automatically log out all customers after a period of inactivity.;0
12_15hlmnSRS4.0_uji12;The system shall confirm all transactions with the customer’s web browser.;0
12_15hlmnSRS4.0_uji12;The system shall not leave any cookies on the customer’s computer containing the user’s password.;0
12_15hlmnSRS4.0_uji12;The system shall not leave any cookies on the customer’s computer containing any of the user’s confidential information.;0
12_15hlmnSRS4.0_uji12;The customer’s web browser shall never display a customer’s password.  It shall always be echoed with special characters representing typed characters.;0
12_15hlmnSRS4.0_uji12;The customer’s web browser shall never display a customer’s credit card number after retrieving from the database.  It shall always be shown with just the last 4 digits of the credit card number.;0
12_15hlmnSRS4.0_uji12;The system’s back-end servers shall never display a customer’s password.  The customer’s password may be reset but never shown.;0
12_15hlmnSRS4.0_uji12;The system’s back-end servers shall only be accessible to authenticated administrators.;0
12_15hlmnSRS4.0_uji12;The system’s back-end databases shall be encrypted.;0
12_15hlmnSRS4.0_uji12;The source code developed for this system shall be maintained in configuration management tool.;1
12_15hlmnSRS4.0_uji12;The system shall be built using a standard web page development tool that conforms to either IBM’s CUA standards or Microsoft’s GUI standards.;0
12_15hlmnSRS4.0_uji12;There are no memory requirements.;0
12_15hlmnSRS4.0_uji12;The computers must be equipped with web browsers such as Internet explorer.;0
12_15hlmnSRS4.0_uji12;The product must be stored in such a way that allows the client easy access to it.;0
12_15hlmnSRS4.0_uji12;Response time for loading the product should take no longer than five minutes.;0
12_15hlmnSRS4.0_uji12;A general knowledge of basic computer skills is required to use the product.;0
12_15hlmnSRS4.0_uji12;As the product is E-store, On-line help system becomes a critical component of the system which shall provide –.;0
12_15hlmnSRS4.0_uji12;It shall provide specific guidelines to a user for using the E-Store system and within the system.;0
12_15hlmnSRS4.0_uji12;To implement online user help, link and search fields shall be provided.;0
12_15hlmnSRS4.0_uji12;"There are many types of interfaces as such supported by the E-Store software system namely User Interface, Software Interface and Hardware Interface.";0
12_15hlmnSRS4.0_uji12;The protocol used shall be HTTP.;0
12_15hlmnSRS4.0_uji12;The Port number used will be 80.;0
12_15hlmnSRS4.0_uji12;There shall be logical address of the system in IPv4 format.;0
12_15hlmnSRS4.0_uji12;The user interface for the software shall be compatible to any browser such as Internet Explorer, Mozilla or Netscape Navigator by which user can access to the system.;0
12_15hlmnSRS4.0_uji12;The user interface shall be implemented using any tool or software package like Java Applet, MS Front Page, EJB etc.;0
12_15hlmnSRS4.0_uji12;Since the application must run over the internet, all the hardware shall require to connect internet will be hardware interface for the system. As for e.g. Modem, WAN – LAN, Ethernet Cross-Cable.;0
12_15hlmnSRS4.0_uji12;The e-store system shall communicate with the Configurator to identify all the available components to configure the product.;0
12_15hlmnSRS4.0_uji12;The e-store shall communicate with the content manager to get the product specifications, offerings and promotions.;0
12_15hlmnSRS4.0_uji12;The e-store system shall communicate with billPay system to identify available payment methods , validate the payments and process payment.;0
12_15hlmnSRS4.0_uji12;The e-store system shall communicate to credit management system for handling financing options.;0
12_15hlmnSRS4.0_uji12;The e-store system shall communicate with CRM system to provide support.;0
12_15hlmnSRS4.0_uji12;The e-store system shall communicate with Sales system for order management.;0
12_15hlmnSRS4.0_uji12;The e-store system shall communicate with shipping system for tracking orders and updating of shipping methods.;0
12_15hlmnSRS4.0_uji12;The e-store system shall communicate with external Tax system to calculate tax.;0
12_15hlmnSRS4.0_uji12;The e-store system shall communicate with export regulation system to validate export regulations.;0
12_15hlmnSRS4.0_uji12;The system shall be verisign like software which shall allow the users to complete secured transaction. This usually shall be the third party software system which is widely used for internet transaction.;0
12_15hlmnSRS4.0_uji12;The e-store system shall use the HTTP protocol for communication over the internet and for the intranet communication will be through TCP/IP protocol suite.;0
12_15hlmnSRS4.0_uji12;E-store should display the disclaimers, copyright, word mark, trademark and product warranties of the Marvel electronics and home entertainment.;0
12_15hlmnSRS4.0_uji12;It shall be as per the industry standard.;1
13_T1-Req-uji13;The only requirements besides having an iPhone will be having a Twitter account and internet acces;0
13_T1-Req-uji13;The Twitter client will use several different data objects while in operation.;0
13_T1-Req-uji13;The data objects that are while used inside the Application will be the main driving force of the client.;1
13_T1-Req-uji13;They will provide all the information the user wants to see based on what he or she inputs;1
13_T1-Req-uji13;The user is the main data object of the client’s system.;1
13_T1-Req-uji13;The user will log into the client by supplying a username and password.;0
13_T1-Req-uji13;If the user does not already have a Twitter account, then they will have to create one in order to log into the client;0
13_T1-Req-uji13;After logging in, the user will then be able to use a search box for any anything they may want to search for, or they can enter a new Tweet for their own account.;0
13_T1-Req-uji13;The user will also be able to select who to follow, and whether or not to allow someone to follow them.;0
13_T1-Req-uji13;The user’s Twitter page is an important data object in regards to the client.;0
13_T1-Req-uji13;This is where all the users Tweets are displayed and also the list of whom he or she is following or who is following them.;0
13_T1-Req-uji13;As the user enters new Tweets or someone tags his or her name in a Tweet, the page will change.;0
13_T1-Req-uji13;The new page must be updated every time a change occurs.;0
13_T1-Req-uji13;A Tweet is another data object.;0
13_T1-Req-uji13;A Tweet will be input by the user of the client.;0
13_T1-Req-uji13;A Tweet can be any sort of text as long as it is under the maximum number of characters allowed per Tweet.;0
